time,open,high,low,close,volume
2025-12-22 05:45:00,4401.105,4406.435,4399.555,4399.768,3486
2025-12-22 06:00:00,4399.835,4404.615,4398.515,4403.398,3578
2025-12-22 06:15:00,4403.419,4405.029,4399.358,4400.725,3606
2025-12-22 06:30:00,4400.755,4409.035,4399.755,4408.115,3277
2025-12-22 06:45:00,4408.085,4419.695,4407.845,4419.025,3950
2025-12-22 07:00:00,4419.045,4420.165,4410.058,4412.619,3959
2025-12-22 07:15:00,4412.619,4416.299,4411.498,4415.458,2722
2025-12-22 07:30:00,4415.469,4417.748,4412.115,4416.125,2235
2025-12-22 07:45:00,4416.155,4416.255,4412.205,4414.019,1677
2025-12-22 08:00:00,4414.019,4414.385,4409.655,4411.915,3044
2025-12-22 08:15:00,4411.898,4413.105,4409.095,4413.105,2035
2025-12-22 08:30:00,4413.135,4414.685,4406.698,4409.848,2911
2025-12-22 08:45:00,4409.748,4410.888,4405.895,4407.939,2102
2025-12-22 09:00:00,4407.939,4412.815,4407.639,4411.915,2025
2025-12-22 09:15:00,4411.978,4413.835,4410.575,4412.155,1638
2025-12-22 09:30:00,4412.125,4413.378,4411.175,4411.965,1325
2025-12-22 09:45:00,4412.025,4414.535,4410.715,4410.785,1217
2025-12-22 10:00:00,4410.825,4415.555,4410.715,4413.665,1464
2025-12-22 10:15:00,4413.695,4414.015,4410.865,4411.035,1347
2025-12-22 10:30:00,4411.055,4411.208,4405.798,4408.655,2612
2025-12-22 10:45:00,4408.805,4411.245,4408.288,4408.345,1025
2025-12-22 11:00:00,4408.335,4409.555,4405.755,4408.998,1802
2025-12-22 11:15:00,4408.998,4410.268,4407.868,4408.848,2578
2025-12-22 11:30:00,4408.865,4411.468,4408.218,4409.788,2954
2025-12-22 11:45:00,4409.788,4410.678,4408.415,4410.045,2435
2025-12-22 12:00:00,4410.025,4413.015,4405.905,4406.825,3726
2025-12-22 12:15:00,4406.805,4412.115,4406.695,4408.865,2634
2025-12-22 12:30:00,4408.835,4410.555,4407.395,4409.215,2803
2025-12-22 12:45:00,4409.235,4415.755,4409.015,4415.535,2249
2025-12-22 13:00:00,4415.535,4426.818,4414.898,4425.125,5314
2025-12-22 13:15:00,4425.155,4427.035,4413.025,4418.365,5236
2025-12-22 13:30:00,4418.495,4426.365,4418.045,4423.615,3968
2025-12-22 13:45:00,4423.625,4426.965,4419.515,4423.475,4016
2025-12-22 14:00:00,4423.505,4426.975,4421.355,4426.025,3224
2025-12-22 14:15:00,4426.005,4428.895,4423.845,4426.185,4286
2025-12-22 14:30:00,4426.235,4426.235,4414.485,4422.725,7585
2025-12-22 14:45:00,4422.798,4429.325,4417.285,4419.065,7283
2025-12-22 15:00:00,4419.045,4423.345,4413.425,4415.825,6416
2025-12-22 15:15:00,4415.845,4419.665,4411.725,4417.845,5650
2025-12-22 15:30:00,4417.875,4427.865,4416.375,4427.555,4978
2025-12-22 15:45:00,4427.615,4435.338,4427.595,4431.548,4587
2025-12-22 16:00:00,4431.548,4437.885,4427.975,4437.885,4442
2025-12-22 16:15:00,4437.915,4440.165,4435.215,4437.615,4453
2025-12-22 16:30:00,4437.645,4441.948,4432.885,4435.665,4071
2025-12-22 16:45:00,4435.625,4438.705,4434.195,4438.415,3267
2025-12-22 17:00:00,4438.435,4441.435,4435.035,4441.375,2464
2025-12-22 17:15:00,4441.405,4441.885,4433.425,4433.905,3104
2025-12-22 17:30:00,4433.935,4437.448,4431.825,4435.595,3594
2025-12-22 17:45:00,4435.595,4438.575,4435.235,4438.275,3413
2025-12-22 18:00:00,4438.325,4438.725,4434.245,4436.535,2795
2025-12-22 18:15:00,4436.565,4438.355,4433.198,4434.005,3807
2025-12-22 18:30:00,4433.935,4437.075,4431.985,4432.615,3227
2025-12-22 18:45:00,4432.615,4436.465,4429.205,4435.105,3347
