entry_time,exit_time,direction,entry_price,sl,sl_pips,tp1,tp2,tp3,tp4,tp5,grade,score,exit_reason,tp_hits,pnl_usd,balance,session,lot_per_order
2026-01-28 14:45:00,2026-01-28 15:00:00,BUY,5286.24,5266.24,200,5306.24,5326.24,5346.24,5366.24,5386.24,A+,33,SL,,-100.0,3110.4,LN/NY,0.01
2026-01-28 19:30:00,2026-01-28 21:45:00,BUY,5310.91,5311.11,200,5330.91,5350.91,5370.91,5390.91,5410.91,A+,31,TP5,"1,2,3,4,5",300.0,3410.4,NY,0.01
2026-01-29 14:15:00,2026-01-29 14:30:00,BUY,5543.6,5523.6,200,5563.6,5583.6,5603.6,5623.6,5643.6,A+,29,SL,,-100.0,3310.4,LN/NY,0.01
2026-01-30 14:30:00,2026-01-30 16:30:00,SELL,5079.68,5079.4800000000005,200,5059.68,5039.68,5019.68,4999.68,4979.68,A+,28,TP5,"1,2,3,4,5",300.0,3610.4,LN/NY,0.01
2026-02-02 16:45:00,2026-02-02 17:00:00,SELL,4665.23,4685.23,200,4645.23,4625.23,4605.23,4585.23,4565.23,A,26,SL,,-100.0,3510.4,NY,0.01
2026-02-03 10:15:00,2026-02-03 11:00:00,BUY,4914.77,4894.77,200,4934.77,4954.77,4974.77,4994.77,5014.77,A,26,SL,,-100.0,3410.4,London,0.01
2026-02-03 13:15:00,2026-02-03 14:15:00,BUY,4934.11,4914.11,200,4954.11,4974.11,4994.11,5014.11,5034.11,A+,28,SL,,-100.0,3310.4,LN/NY,0.01
2026-02-05 12:00:00,2026-02-05 12:30:00,SELL,4839.35,4839.150000000001,200,4819.35,4799.35,4779.35,4759.35,4739.35,A+,28,SL@BE,1,20.8,3331.2,LN/NY,0.01
2026-02-05 12:45:00,2026-02-05 13:15:00,SELL,4852.77,4852.570000000001,200,4832.77,4812.77,4792.77,4772.77,4752.77,A+,28,SL@BE,"1,2",60.6,3391.8,LN/NY,0.01
2026-02-05 13:30:00,2026-02-05 13:45:00,SELL,4824.01,4844.01,200,4804.01,4784.01,4764.01,4744.01,4724.01,A+,33,SL,,-100.0,3291.8,LN/NY,0.01
2026-02-09 17:30:00,2026-02-09 17:45:00,BUY,5062.48,5042.48,200,5082.48,5102.48,5122.48,5142.48,5162.48,A+,31,SL,,-100.0,3191.8,NY,0.01
2026-02-10 09:45:00,2026-02-10 12:30:00,BUY,5046.84,5026.84,200,5066.84,5086.84,5106.84,5126.84,5146.84,A+,31,SL,,-100.0,3091.8,London,0.01
2026-02-12 16:00:00,2026-02-12 16:30:00,SELL,4950.68,4950.4800000000005,200,4930.68,4910.68,4890.68,4870.68,4850.68,B,22,SL@BE,"1,2,3",120.4,3212.2,NY,0.01
2026-02-12 16:45:00,2026-02-12 17:15:00,SELL,4953.97,4973.97,200,4933.97,4913.97,4893.97,4873.97,4853.97,B,22,SL,,-100.0,3112.2,NY,0.01
2026-02-16 08:45:00,2026-02-16 14:30:00,BUY,5008.12,4988.12,200,5028.12,5048.12,5068.12,5088.12,5108.12,A+,31,SL,,-100.0,3012.2,London,0.01
2026-02-17 13:45:00,2026-02-17 14:00:00,SELL,4870.18,4890.18,200,4850.18,4830.18,4810.18,4790.18,4770.18,A+,33,SL,,-100.0,2912.2,LN/NY,0.01
2026-02-18 07:00:00,2026-02-18 08:45:00,BUY,4938.47,4918.47,200,4958.47,4978.47,4998.47,5018.47,5038.47,A+,31,SL,,-100.0,2812.2,London,0.01
2026-02-18 10:45:00,2026-02-18 12:45:00,SELL,4913.88,4933.88,200,4893.88,4873.88,4853.88,4833.88,4813.88,B,22,SL,,-100.0,2712.2,London,0.01
2026-02-19 07:45:00,2026-02-19 10:00:00,BUY,5010.32,4990.32,200,5030.32,5050.32,5070.32,5090.32,5110.32,A+,31,SL,,-100.0,2612.2,London,0.01
2026-02-19 15:15:00,2026-02-19 16:15:00,BUY,5016.03,4996.03,200,5036.03,5056.03,5076.03,5096.03,5116.03,A+,33,SL,,-100.0,2512.2,LN/NY,0.01
2026-02-20 08:45:00,2026-02-20 12:30:00,BUY,5028.95,5008.95,200,5048.95,5068.95,5088.95,5108.95,5128.95,A,27,SL,,-100.0,2412.2,London,0.01
2026-02-20 19:00:00,2026-02-23 02:30:00,BUY,5071.55,5071.75,200,5091.55,5111.55,5131.55,5151.55,5171.55,A+,31,TP5,"1,2,3,4,5",300.0,2712.2,NY,0.01
2026-02-23 14:15:00,2026-02-24 01:15:00,BUY,5165.4,5165.599999999999,200,5185.4,5205.4,5225.4,5245.4,5265.4,A+,33,SL@BE,"1,2,3,4",200.2,2912.4,LN/NY,0.01
2026-02-24 18:45:00,2026-02-24 21:45:00,BUY,5160.09,5140.09,200,5180.09,5200.09,5220.09,5240.09,5260.09,A+,31,SL,,-100.0,2812.4,NY,0.01
2026-02-25 15:45:00,2026-02-25 19:00:00,BUY,5194.95,5195.15,200,5214.95,5234.95,5254.95,5274.95,5294.95,A+,33,SL@BE,1,20.8,2833.2,LN/NY,0.01
2026-02-27 12:45:00,2026-03-02 00:00:00,BUY,5187.44,5187.639999999999,200,5207.44,5227.44,5247.44,5267.44,5287.44,A+,38,TP5,"1,2,3,4,5",300.0,3133.2,LN/NY,0.01
2026-03-02 20:45:00,2026-03-03 05:45:00,BUY,5332.3,5332.5,200,5352.3,5372.3,5392.3,5412.3,5432.3,A,24,SL@BE,"1,2",60.6,3193.8,NY,0.01
2026-03-03 11:00:00,2026-03-03 11:30:00,SELL,5197.26,5197.06,200,5177.26,5157.26,5137.26,5117.26,5097.26,B,22,TP5,"1,2,3,4,5",300.0,3493.8,London,0.01
2026-03-03 11:45:00,2026-03-03 12:00:00,SELL,5144.02,5164.02,200,5124.02,5104.02,5084.02,5064.02,5044.02,B,22,SL,,-100.0,3393.8,London,0.01
2026-03-04 09:15:00,2026-03-04 12:30:00,BUY,5170.76,5170.96,200,5190.76,5210.76,5230.76,5250.76,5270.76,A+,31,SL@BE,1,20.8,3414.6,London,0.01
2026-03-04 15:45:00,2026-03-04 23:00:00,SELL,5150.7,5150.5,200,5130.7,5110.7,5090.7,5070.7,5050.7,A,24,SL@BE,"1,2",60.6,3475.2,LN/NY,0.01
