entry_time,exit_time,direction,entry_price,sl,grade,score,exit_reason,tp_hits,pnl_usd,session
2025-12-05 09:45:00,2025-12-05 12:30:00,BUY,4223.48,4223.679999999999,A+,31,SL@BE,1,4.8,London
2025-12-08 15:00:00,2025-12-08 15:15:00,SELL,4177.72,4181.72,A+,28,SL,,-20.0,LN/NY
2025-12-09 07:00:00,2025-12-09 07:45:00,SELL,4182.3,4182.1,A,26,SL@BE,1,4.8,London
2025-12-09 10:00:00,2025-12-09 12:15:00,BUY,4204.44,4200.44,A,27,SL,,-20.0,London
2025-12-09 19:00:00,2025-12-09 19:30:00,BUY,4211.14,4207.14,A+,31,SL,,-20.0,NY
2025-12-10 20:15:00,2025-12-10 21:00:00,BUY,4232.8,4233.0,A,27,SL@BE,1,4.8,NY
2025-12-11 09:30:00,2025-12-11 10:15:00,BUY,4217.78,4217.98,A+,28,SL@BE,1,4.8,London
2025-12-11 14:00:00,2025-12-11 14:15:00,BUY,4227.27,4223.27,A+,29,SL,,-20.0,LN/NY
2025-12-11 16:15:00,2025-12-11 16:45:00,BUY,4257.24,4257.44,A,27,TP5,"1,2,3,4,5",60.0,NY
2025-12-11 17:00:00,2025-12-11 17:30:00,BUY,4277.52,4273.52,A,27,SL,,-20.0,NY
2025-12-12 12:00:00,2025-12-12 12:30:00,BUY,4333.03,4329.03,A+,33,SL,,-20.0,LN/NY
2025-12-16 15:45:00,2025-12-16 16:00:00,BUY,4319.93,4315.93,A+,29,SL,,-20.0,LN/NY
2025-12-16 19:00:00,2025-12-16 19:15:00,BUY,4305.99,4301.99,A+,31,SL,,-20.0,NY
2025-12-18 15:00:00,2025-12-18 15:15:00,BUY,4330.78,4326.78,A+,33,SL,,-20.0,LN/NY
2025-12-19 15:30:00,2025-12-19 20:30:00,BUY,4340.05,4340.25,A+,29,SL@BE,"1,2,3,4",40.2,LN/NY
2025-12-22 07:00:00,2025-12-22 07:45:00,BUY,4412.92,4413.12,A+,31,SL@BE,1,4.8,London
2025-12-22 08:00:00,2025-12-22 08:30:00,BUY,4412.22,4408.22,A+,31,SL,,-20.0,London
2025-12-22 14:00:00,2025-12-22 14:30:00,BUY,4426.32,4422.32,A+,33,SL,,-20.0,LN/NY
2025-12-23 13:00:00,2025-12-23 13:15:00,BUY,4494.46,4490.46,A+,29,SL,,-20.0,LN/NY
2025-12-23 19:45:00,2025-12-23 21:00:00,BUY,4490.92,4491.12,A+,31,SL@BE,"1,2",12.6,NY
2025-12-26 13:45:00,2025-12-26 14:30:00,BUY,4525.14,4525.34,A+,38,SL@BE,1,4.8,LN/NY
2025-12-26 14:45:00,2025-12-26 15:30:00,BUY,4520.98,4521.179999999999,A+,33,TP5,"1,2,3,4,5",60.0,LN/NY
2025-12-30 14:30:00,2025-12-30 15:00:00,SELL,4370.78,4370.58,A,24,SL@BE,"1,2,3",24.4,LN/NY
2025-12-30 15:15:00,2025-12-30 15:30:00,SELL,4365.56,4369.56,A+,29,SL,,-20.0,LN/NY
2025-12-31 20:45:00,2025-12-31 21:30:00,SELL,4312.74,4312.54,A,27,SL@BE,1,4.8,NY
2026-01-02 17:00:00,2026-01-02 17:30:00,SELL,4329.68,4329.4800000000005,B,22,SL@BE,1,4.8,NY
2026-01-02 17:45:00,2026-01-02 19:15:00,SELL,4322.52,4322.320000000001,B,22,SL@BE,"1,2,3",24.4,NY
2026-01-06 14:30:00,2026-01-06 15:00:00,BUY,4479.35,4479.55,A+,33,SL@BE,"1,2",12.6,LN/NY
2026-01-06 15:15:00,2026-01-06 15:30:00,BUY,4480.88,4476.88,A+,33,SL,,-20.0,LN/NY
2026-01-07 17:30:00,2026-01-07 17:45:00,BUY,4456.93,4452.93,A,27,SL,,-20.0,NY
2026-01-07 19:45:00,2026-01-07 20:30:00,BUY,4457.18,4457.38,A,27,SL@BE,1,4.8,NY
2026-01-08 15:00:00,2026-01-08 15:15:00,BUY,4448.15,4444.15,A+,29,SL,,-20.0,LN/NY
2026-01-08 17:15:00,2026-01-08 18:00:00,BUY,4461.7,4457.7,A,27,SL,,-20.0,NY
2026-01-09 14:15:00,2026-01-09 14:30:00,BUY,4494.26,4490.26,A+,33,SL,,-20.0,LN/NY
2026-01-09 16:30:00,2026-01-09 17:15:00,BUY,4504.7,4504.9,A+,31,SL@BE,1,4.8,NY
2026-01-09 17:30:00,2026-01-09 17:45:00,BUY,4501.9,4497.9,A+,31,SL,,-20.0,NY
2026-01-12 15:00:00,2026-01-12 15:15:00,BUY,4617.45,4613.45,A+,34,SL,,-20.0,LN/NY
2026-01-13 16:00:00,2026-01-13 16:15:00,BUY,4612.57,4608.57,A+,31,SL,,-20.0,NY
2026-01-14 13:30:00,2026-01-14 13:45:00,BUY,4636.97,4632.97,A+,33,SL,,-20.0,LN/NY
2026-01-14 19:45:00,2026-01-14 20:00:00,BUY,4639.3,4635.3,A+,31,SL,,-20.0,NY
2026-01-15 12:15:00,2026-01-15 12:45:00,BUY,4616.66,4612.66,A+,29,SL,,-20.0,LN/NY
2026-01-16 07:00:00,2026-01-16 07:15:00,BUY,4610.11,4606.11,A,27,SL,,-20.0,London
2026-01-16 15:00:00,2026-01-16 15:15:00,BUY,4616.05,4612.05,A+,33,SL,,-20.0,LN/NY
2026-01-19 13:15:00,2026-01-19 13:30:00,BUY,4671.93,4667.93,A+,29,SL,,-20.0,LN/NY
2026-01-19 17:30:00,2026-01-19 19:00:00,BUY,4676.36,4672.36,A,27,SL,,-20.0,NY
2026-01-20 07:00:00,2026-01-20 07:45:00,BUY,4715.64,4715.84,A+,31,SL@BE,1,4.8,London
2026-01-20 08:00:00,2026-01-20 08:15:00,BUY,4724.61,4720.61,A+,31,SL,,-20.0,London
2026-01-20 10:15:00,2026-01-20 10:30:00,BUY,4727.86,4723.86,A+,31,SL,,-20.0,London
2026-01-21 07:45:00,2026-01-21 08:45:00,BUY,4855.36,4855.5599999999995,A+,31,SL@BE,"1,2,3",24.4,London
2026-01-22 19:45:00,2026-01-22 21:30:00,BUY,4911.88,4912.08,A+,32,TP5,"1,2,3,4,5",60.0,NY
2026-01-23 13:45:00,2026-01-23 14:00:00,BUY,4939.24,4935.24,A+,33,SL,,-20.0,LN/NY
2026-01-26 17:30:00,2026-01-26 17:45:00,BUY,5102.39,5098.39,A+,36,SL,,-20.0,NY
2026-01-27 09:15:00,2026-01-27 09:45:00,BUY,5088.52,5088.72,A+,31,SL@BE,1,4.8,London
2026-01-27 10:00:00,2026-01-27 10:15:00,BUY,5096.64,5092.64,A+,36,SL,,-20.0,London
2026-01-27 17:00:00,2026-01-27 17:15:00,BUY,5091.49,5087.49,A+,36,SL,,-20.0,NY
2026-01-28 14:45:00,2026-01-28 15:00:00,BUY,5286.24,5282.24,A+,33,SL,,-20.0,LN/NY
2026-01-28 19:30:00,2026-01-28 19:45:00,BUY,5310.91,5306.91,A+,31,SL,,-20.0,NY
2026-01-29 14:15:00,2026-01-29 14:30:00,BUY,5543.6,5539.6,A+,29,SL,,-20.0,LN/NY
2026-01-30 14:30:00,2026-01-30 14:45:00,SELL,5079.68,5083.68,A+,28,SL,,-20.0,LN/NY
2026-02-02 16:45:00,2026-02-02 17:00:00,SELL,4665.23,4669.23,A,26,SL,,-20.0,NY
2026-02-03 10:15:00,2026-02-03 10:45:00,BUY,4914.77,4914.97,A,26,SL@BE,"1,2",12.6,London
2026-02-03 13:15:00,2026-02-03 13:30:00,BUY,4934.11,4930.11,A+,28,SL,,-20.0,LN/NY
2026-02-05 12:00:00,2026-02-05 12:15:00,SELL,4839.35,4843.35,A+,28,SL,,-20.0,LN/NY
2026-02-05 14:15:00,2026-02-05 14:30:00,SELL,4834.72,4838.72,A+,28,SL,,-20.0,LN/NY
2026-02-09 17:30:00,2026-02-09 17:45:00,BUY,5062.48,5058.48,A+,31,SL,,-20.0,NY
2026-02-10 09:45:00,2026-02-10 10:00:00,BUY,5046.84,5042.84,A+,31,SL,,-20.0,London
2026-02-12 16:00:00,2026-02-12 16:15:00,SELL,4950.68,4954.68,B,22,SL,,-20.0,NY
2026-02-16 08:45:00,2026-02-16 09:45:00,BUY,5008.12,5008.32,A+,31,SL@BE,1,4.8,London
2026-02-16 10:00:00,2026-02-16 10:30:00,BUY,5007.56,5007.76,A+,31,SL@BE,1,4.8,London
2026-02-16 14:00:00,2026-02-16 14:15:00,SELL,4994.65,4998.65,A,24,SL,,-20.0,LN/NY
2026-02-17 13:45:00,2026-02-17 14:00:00,SELL,4870.18,4874.18,A+,33,SL,,-20.0,LN/NY
2026-02-18 07:00:00,2026-02-18 07:15:00,BUY,4938.47,4934.47,A+,31,SL,,-20.0,London
2026-02-18 10:00:00,2026-02-18 10:15:00,SELL,4919.59,4923.59,A,24,SL,,-20.0,London
2026-02-19 07:45:00,2026-02-19 08:00:00,BUY,5010.32,5006.32,A+,31,SL,,-20.0,London
2026-02-19 15:15:00,2026-02-19 15:45:00,BUY,5016.03,5016.23,A+,33,SL@BE,1,4.8,LN/NY
2026-02-19 16:00:00,2026-02-19 16:15:00,BUY,5005.43,5001.43,A+,31,SL,,-20.0,NY
2026-02-20 08:45:00,2026-02-20 09:45:00,BUY,5028.95,5029.15,A,27,SL@BE,"1,2,3",24.4,London
2026-02-20 10:30:00,2026-02-20 10:45:00,BUY,5033.94,5029.94,A,27,SL,,-20.0,London
2026-02-20 19:00:00,2026-02-20 20:45:00,BUY,5071.55,5071.75,A+,31,TP5,"1,2,3,4,5",60.0,NY
2026-02-23 14:15:00,2026-02-23 14:30:00,BUY,5165.4,5165.599999999999,A+,33,TP5,"1,2,3,4,5",60.0,LN/NY
2026-02-23 16:45:00,2026-02-23 17:00:00,BUY,5210.01,5206.01,A+,31,SL,,-20.0,NY
2026-02-24 18:45:00,2026-02-24 19:00:00,BUY,5160.09,5156.09,A+,31,SL,,-20.0,NY
2026-02-25 15:45:00,2026-02-25 16:00:00,BUY,5194.95,5190.95,A+,33,SL,,-20.0,LN/NY
2026-02-27 12:45:00,2026-02-27 13:00:00,BUY,5187.44,5187.639999999999,A+,38,TP5,"1,2,3,4,5",60.0,LN/NY
2026-02-27 13:15:00,2026-02-27 13:30:00,BUY,5235.01,5231.01,A+,33,SL,,-20.0,LN/NY
2026-02-27 15:30:00,2026-02-27 16:00:00,BUY,5231.11,5231.3099999999995,A+,33,TP5,"1,2,3,4,5",60.0,LN/NY
2026-02-27 16:15:00,2026-02-27 16:30:00,BUY,5234.02,5230.02,A+,31,SL,,-20.0,NY
2026-03-02 20:45:00,2026-03-02 21:15:00,BUY,5332.3,5332.5,A,24,SL@BE,1,4.8,NY
2026-03-03 11:00:00,2026-03-03 11:15:00,SELL,5197.26,5201.26,B,22,SL,,-20.0,London
2026-03-03 13:15:00,2026-03-03 13:30:00,SELL,5177.06,5181.06,A+,28,SL,,-20.0,LN/NY
2026-03-04 09:15:00,2026-03-04 10:00:00,BUY,5170.76,5170.96,A+,31,TP5,"1,2,3,4,5",60.0,London
2026-03-04 10:15:00,2026-03-04 10:30:00,BUY,5188.02,5184.02,A,26,SL,,-20.0,London
2026-03-04 15:45:00,2026-03-04 16:00:00,SELL,5150.7,5154.7,A,24,SL,,-20.0,LN/NY
2026-03-05 16:45:00,2026-03-05 17:00:00,SELL,5077.1,5081.1,B,22,SL,,-20.0,NY
2026-03-06 08:15:00,2026-03-06 08:30:00,SELL,5099.89,5103.89,B,22,SL,,-20.0,London
2026-03-06 14:45:00,2026-03-06 15:00:00,BUY,5130.14,5130.34,A+,29,TP5,"1,2,3,4,5",60.0,LN/NY
2026-03-06 15:15:00,2026-03-06 15:30:00,BUY,5161.6,5157.6,A,24,SL,,-20.0,LN/NY
2026-03-09 13:30:00,2026-03-09 13:45:00,SELL,5075.51,5079.51,A+,28,SL,,-20.0,LN/NY
2026-03-09 20:45:00,2026-03-09 22:00:00,BUY,5139.24,5135.24,B,22,SL,,-20.0,NY
2026-03-10 14:00:00,2026-03-10 15:00:00,BUY,5195.34,5195.54,A+,33,TP5,"1,2,3,4,5",60.0,LN/NY
2026-03-12 10:00:00,2026-03-12 10:15:00,BUY,5187.12,5183.12,A,27,SL,,-20.0,London
2026-03-12 13:15:00,2026-03-12 13:45:00,SELL,5170.68,5170.4800000000005,A,26,TP5,"1,2,3,4,5",60.0,LN/NY
2026-03-12 14:00:00,2026-03-12 14:30:00,SELL,5160.52,5160.320000000001,A,24,TP5,"1,2,3,4,5",60.0,LN/NY
2026-03-12 14:45:00,2026-03-12 15:00:00,SELL,5142.38,5142.18,A,24,TP5,"1,2,3,4,5",60.0,LN/NY
2026-03-12 15:15:00,2026-03-12 15:30:00,SELL,5128.7,5132.7,A,24,SL,,-20.0,LN/NY
2026-03-13 15:30:00,2026-03-13 15:45:00,SELL,5046.18,5050.18,A+,29,SL,,-20.0,LN/NY
2026-03-13 19:15:00,2026-03-13 19:45:00,SELL,5034.59,5034.39,A+,31,TP5,"1,2,3,4,5",60.0,NY
2026-03-16 10:45:00,2026-03-16 11:00:00,SELL,4998.19,5002.19,A+,31,SL,,-20.0,London
2026-03-16 17:45:00,2026-03-16 18:00:00,SELL,4990.8,4994.8,A+,31,SL,,-20.0,NY
2026-03-17 11:45:00,2026-03-17 12:00:00,SELL,5002.72,5006.72,A+,32,SL,,-20.0,London
2026-03-18 08:30:00,2026-03-18 08:45:00,SELL,4983.88,4987.88,A+,31,SL,,-20.0,London
2026-03-18 10:45:00,2026-03-18 11:15:00,SELL,4967.32,4967.12,A+,31,SL@BE,"1,2,3,4",40.2,London
2026-03-18 11:30:00,2026-03-18 11:45:00,SELL,4938.68,4942.68,A+,31,SL,,-20.0,London
2026-03-23 16:30:00,2026-03-23 16:45:00,SELL,4385.55,4389.55,A+,28,SL,,-20.0,NY
2026-03-24 12:30:00,2026-03-24 12:45:00,SELL,4369.09,4373.09,A+,29,SL,,-20.0,LN/NY
2026-03-25 07:30:00,2026-03-25 08:00:00,SELL,4546.05,4545.85,A,24,SL@BE,"1,2",12.6,London
2026-03-25 19:45:00,2026-03-25 20:00:00,SELL,4530.53,4534.53,A,26,SL,,-20.0,NY
2026-03-26 07:00:00,2026-03-26 07:15:00,SELL,4447.34,4451.34,A+,31,SL,,-20.0,London
2026-03-27 10:30:00,2026-03-27 11:00:00,SELL,4415.27,4415.070000000001,A+,36,SL@BE,1,4.8,London
2026-03-27 11:15:00,2026-03-27 11:30:00,SELL,4414.85,4418.85,A+,31,SL,,-20.0,London
2026-03-31 13:45:00,2026-03-31 14:00:00,BUY,4607.01,4603.01,A+,28,SL,,-20.0,LN/NY
2026-04-01 08:15:00,2026-04-01 08:30:00,BUY,4730.53,4726.53,A,26,SL,,-20.0,London
2026-04-02 15:15:00,2026-04-02 15:30:00,BUY,4672.35,4668.35,A+,28,SL,,-20.0,LN/NY
2026-04-02 19:00:00,2026-04-02 19:15:00,BUY,4674.48,4670.48,B,22,SL,,-20.0,NY
