time,open,high,low,close,volume
2026-03-29 09:45:00,4507.7127,4507.90231,4507.6767,4507.68246,225
2026-03-29 10:00:00,4507.7127,4507.90887,4507.65222,4507.6803,256
2026-03-29 10:15:00,4507.7127,4507.90768,4507.65317,4507.75584,254
2026-03-29 10:30:00,4507.7127,4507.90824,4507.65185,4507.81394,256
2026-03-29 10:45:00,4507.7127,4507.90906,4507.65659,4507.74611,252
2026-03-29 11:00:00,4507.7127,4507.90888,4507.65153,4507.67901,257
2026-03-29 11:15:00,4507.7127,4507.90641,4507.65222,4507.73796,254
2026-03-29 11:30:00,4507.7127,4507.90769,4507.65318,4507.81286,254
2026-03-29 11:45:00,4507.7127,4507.90823,4507.65186,4507.76384,256
2026-03-29 12:00:00,4507.7127,4507.90906,4507.65658,4507.68244,252
2026-03-29 12:15:00,4507.7127,4507.90888,4507.65153,4507.72068,257
2026-03-29 12:30:00,4507.7127,4507.9064,4507.65222,4507.80715,254
2026-03-29 12:45:00,4507.7127,4507.90823,4507.65319,4507.78036,255
2026-03-29 13:00:00,4507.7127,4507.90552,4507.65186,4507.69035,253
2026-03-29 13:15:00,4507.7127,4507.90906,4507.65153,4507.70521,257
2026-03-29 13:30:00,4507.7127,4507.90888,4507.65552,4507.79719,253
2026-03-29 13:45:00,4507.7127,4507.9077,4507.65221,4507.79452,255
2026-03-29 14:00:00,4507.7127,4507.90822,4507.65389,4507.70218,254
2026-03-29 14:15:00,4507.7127,4507.90906,4507.65186,4507.69262,257
2026-03-29 14:30:00,4507.7127,4507.90356,4507.65153,4507.78369,252
2026-03-29 14:45:00,4507.7127,4507.90888,4507.65221,4507.80532,256
2026-03-29 15:00:00,4507.7127,4507.90771,4507.6532,4507.71711,254
2026-03-29 15:15:00,4507.7127,4507.90822,4507.65187,4507.6838,256
2026-03-29 15:30:00,4507.7127,4507.90905,4507.65654,4507.76759,252
2026-03-29 15:45:00,4507.7127,4507.90889,4507.65153,4507.812,257
2026-03-29 16:00:00,4507.7127,4507.90637,4507.6522,4507.7341,254
2026-03-29 16:15:00,4507.7127,4507.90821,4507.65321,4507.67936,254
2026-03-29 16:30:00,4507.7127,4507.90555,4507.65187,4507.75001,253
2026-03-29 16:45:00,4507.7127,4507.90905,4507.65153,4507.81411,257
2026-03-29 17:00:00,4507.7127,4507.90889,4507.65556,4507.75195,253
2026-03-29 17:15:00,4507.7127,4507.90772,4507.6522,4507.67962,255
2026-03-29 17:30:00,4507.7127,4507.90821,4507.65322,4507.73219,254
2026-03-29 17:45:00,4507.7127,4507.90556,4507.65187,4507.81149,253
2026-03-29 18:00:00,4507.7127,4507.90905,4507.65153,4507.76943,257
2026-03-29 18:15:00,4507.7127,4507.90889,4507.65557,4507.68455,253
2026-03-29 18:30:00,4507.7127,4507.90773,4507.65219,4507.71537,255
2026-03-29 18:45:00,4507.7127,4507.9082,4507.65385,4507.80433,254
